date,product_id,category,sales_qty,revenue,price,inventory_qty,promotion_flag
2022-01-01,SKU-0562,Apparel,65.0,12376.65,190.41,978.0,0
2022-01-01,SKU-0821,Electronics,29.0,5934.56,204.64,431.0,0
2022-01-01,SKU-1134,FMCG,226.0,9275.04,41.04,1227.0,1
2022-01-01,SKU-2201,Home,25.0,10332.5,413.3,179.0,0
2022-01-01,SKU-3305,Electronics,26.0,8921.9,343.15,400.0,0
2022-01-01,SKU-4412,FMCG,173.0,5155.4,29.8,1511.0,0
2022-01-01,SKU-5501,Apparel,48.0,7050.24,146.88,556.0,0
2022-01-01,SKU-6623,Home,29.0,6135.53,211.57,339.0,1
2022-01-01,SKU-7734,Electronics,27.0,13624.74,504.62,199.0,0
2022-01-01,SKU-8891,FMCG,190.0,13058.7,68.73,1258.0,1
2022-01-02,SKU-0562,Apparel,75.0,12510.0,166.8,664.0,1
2022-01-02,SKU-0821,Electronics,25.0,5092.0,203.68,364.0,0
2022-01-02,SKU-1134,FMCG,177.0,8515.47,48.11,1939.0,0
2022-01-02,SKU-2201,Home,19.0,7635.53,401.87,171.0,0
2022-01-02,SKU-3305,Electronics,30.0,10068.0,335.6,262.0,0
2022-01-02,SKU-4412,FMCG,187.0,5355.68,28.64,1583.0,0
2022-01-02,SKU-5501,Apparel,45.0,6971.85,154.93,549.0,0
2022-01-02,SKU-6623,Home,21.0,5134.92,244.52,271.0,0
2022-01-02,SKU-7734,Electronics,28.0,13404.44,478.73,594.0,0
2022-01-02,SKU-8891,FMCG,219.0,15297.15,,1317.0,1
2022-01-03,SKU-0562,Apparel,49.0,9634.38,196.62,344.0,0
2022-01-03,SKU-0821,Electronics,26.0,5341.18,205.43,211.0,0
2022-01-03,SKU-1134,FMCG,177.0,8724.33,49.29,1143.0,0
2022-01-03,SKU-2201,Home,22.0,8633.68,392.44,211.0,0
2022-01-03,SKU-3305,Electronics,26.0,9452.3,363.55,378.0,0
2022-01-03,SKU-4412,FMCG,186.0,5367.96,28.86,2397.0,0
2022-01-03,SKU-5501,Apparel,62.0,8118.9,130.95,645.0,1
2022-01-03,SKU-6623,Home,29.0,6176.42,212.98,239.0,1
2022-01-03,SKU-7734,Electronics,,11777.28,490.72,393.0,0
2022-01-03,SKU-8891,FMCG,154.0,12822.04,83.26,1423.0,0
2022-01-04,SKU-0562,Apparel,53.0,10921.71,206.07,430.0,0
2022-01-04,SKU-0821,Electronics,28.0,5448.24,194.58,212.0,0
2022-01-04,SKU-1134,FMCG,150.0,7342.5,48.95,1238.0,0
2022-01-04,SKU-2201,Home,20.0,8314.0,415.7,271.0,0
2022-01-04,SKU-3305,Electronics,21.0,7150.08,340.48,359.0,0
2022-01-04,SKU-4412,FMCG,153.0,4735.35,30.95,2707.0,0
2022-01-04,SKU-5501,Apparel,48.0,7140.48,148.76,455.0,0
2022-01-04,SKU-6623,Home,19.0,4569.5,240.5,214.0,0
2022-01-04,SKU-7734,Electronics,23.0,11521.62,500.94,475.0,0
2022-01-04,SKU-8891,FMCG,167.0,13177.97,78.91,2940.0,0
2022-01-05,SKU-0562,Apparel,46.0,8873.4,192.9,642.0,0
2022-01-05,SKU-0821,Electronics,18.0,3522.6,195.7,195.0,0
2022-01-05,SKU-1134,FMCG,199.0,8551.03,42.97,1955.0,1
2022-01-05,SKU-2201,Home,20.0,8388.6,419.43,187.0,0
2022-01-05,SKU-3305,Electronics,34.0,9849.46,289.69,485.0,1
